"run","LIATFluBSpecificity","UsePathFinding","COVIDVaccineStatusfullyvaccinated","RecentCovidContactYes","FluBVaccineStatuspartiallyvaccinated","COVIDInfectionStatusSymptomatic","admissionRouteElectiveattendance","LabPCRFluASpecificity","LFDFluBSensitivity","LIATCOVIDSpecificity","LFDFluBSpecificity","LIATFluASpecificity","FluBInfectionStatusAsymptomatic","ImmunocompromisedNo","LFDCOVIDSpecificity","COVIDInfectionStatusSusceptible","FluAInfectionStatusSymptomatic","admissionRouteEmergencyAttendance","SecondsPerTick","PHEThreeAltCOVIDSensitivity","LabPCRCOVIDSpecificity","LFDFluASpecificity","COVIDVaccineStatuspartiallyvaccinated","FluBInfectionStatusSusceptible","LabPCRFluBSensitivity","FluBVaccineStatusUnvaccinated","COVIDInfectionStatusAsymptomatic","COVIDVaccineStatusUnvaccinated","FluBInfectionStatusSymptomatic","LIATFluBSensitivity","FluAVaccineStatusUnvaccinated","PHEThreeAltCOVIDSpecificity","FluAVaccineStatuspartiallyvaccinated","FluBVaccineStatusfullyvaccinated","FluAInfectionStatusAsymptomatic","LIATCOVIDSensitivity","FluAInfectionStatusSusceptible","LabPCRFluASensitivity","randomSeed","LabPCRFluBSpecificity","LFDCOVIDSensitivity","RecentCovidContactNo","FluAVaccineStatusfullyvaccinated","LFDFluASensitivity","ImmunocompromisedYes","LIATFluASensitivity","LabPCRCOVIDSensitivity"
1,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.40699654724449,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.99360911967233,0.0,20.0,2.0,100.0,95.0,100.0,-98030896,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
2,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.40699654724449,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.99360911967233,0.0,20.0,2.0,100.0,95.0,100.0,56710026,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
3,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.40699654724449,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.99360911967233,0.0,20.0,2.0,100.0,95.0,100.0,80990401,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
4,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.40699654724449,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.99360911967233,0.0,20.0,2.0,100.0,95.0,100.0,95292825,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
5,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.40699654724449,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.99360911967233,0.0,20.0,2.0,100.0,95.0,100.0,60362283,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
6,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.40699654724449,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.99360911967233,0.0,20.0,2.0,100.0,95.0,100.0,66217147,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
7,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.40699654724449,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.99360911967233,0.0,20.0,2.0,100.0,95.0,100.0,9554980,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
8,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.40699654724449,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.99360911967233,0.0,20.0,2.0,100.0,95.0,100.0,-21064851,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
9,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.40699654724449,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.99360911967233,0.0,20.0,2.0,100.0,95.0,100.0,51264914,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
10,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.40699654724449,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.99360911967233,0.0,20.0,2.0,100.0,95.0,100.0,-97866310,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
11,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.78383868094534,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.86778112081811,0.0,20.0,2.0,100.0,95.0,100.0,-78308781,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
12,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.78383868094534,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.86778112081811,0.0,20.0,2.0,100.0,95.0,100.0,-54093107,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
13,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.78383868094534,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.86778112081811,0.0,20.0,2.0,100.0,95.0,100.0,54093993,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
14,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.78383868094534,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.86778112081811,0.0,20.0,2.0,100.0,95.0,100.0,-47848959,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
15,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.78383868094534,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.86778112081811,0.0,20.0,2.0,100.0,95.0,100.0,70103692,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
16,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.78383868094534,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.86778112081811,0.0,20.0,2.0,100.0,95.0,100.0,90776931,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
17,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.78383868094534,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.86778112081811,0.0,20.0,2.0,100.0,95.0,100.0,80620532,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
18,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.78383868094534,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.86778112081811,0.0,20.0,2.0,100.0,95.0,100.0,-59705348,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
19,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.78383868094534,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.86778112081811,0.0,20.0,2.0,100.0,95.0,100.0,-76221792,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
20,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,95.78383868094534,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,96.86778112081811,0.0,20.0,2.0,100.0,95.0,100.0,-41982627,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
21,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,97.03810621751472,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,91.53899504803121,0.0,20.0,2.0,100.0,95.0,100.0,-37508365,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
22,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,97.03810621751472,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,91.53899504803121,0.0,20.0,2.0,100.0,95.0,100.0,9892260,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
23,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,97.03810621751472,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,91.53899504803121,0.0,20.0,2.0,100.0,95.0,100.0,-32071901,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
24,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,97.03810621751472,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,91.53899504803121,0.0,20.0,2.0,100.0,95.0,100.0,97680704,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
25,100.0,"false",88.0,5.0,0.0,10.0,100.0,100.0,93.0,100.0,98.0,100.0,2.0,95.0,99.0,80.0,3.0,100.0,60,97.03810621751472,100.0,95.0,2.0,95.0,100.0,80.0,10.0,10.0,3.0,100.0,80.0,91.53899504803121,0.0,20.0,2.0,100.0,95.0,100.0,-17055444,100.0,70.0,95.0,20.0,88.0,5.0,100.0,100.0
